id,rank,name,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
483,482,Chemours,7000,,"$5,400 ",-,$7.00 ,-,"$6,060 ","$7,080 "
484,483,Western & Southern Financial Group,2178,479,"$5,398 ",0.80%,$241.20 ,-47.20%,"$43,831 ",-
485,484,Celanese,7293,453,"$5,389 ",-5.00%,$900.00 ,196.10%,"$8,357 ","$12,643 "
486,485,Windstream Holdings,11870,443,"$5,387 ",-6.60%,($383.50),-,"$11,770 ","$1,038 "
487,486,Seaboard,11781,460,"$5,379 ",-3.80%,$312.00 ,82.50%,"$4,755 ","$4,881 "
488,487,Essendant,6600,477,"$5,369 ",0.10%,$63.90 ,-,"$2,164 ",$568 
489,488,Apache,3727,388,"$5,354 ",-19.50%,"($1,405.00)",-,"$22,519 ","$19,547 "
490,489,Airgas,17000,484,"$5,314 ",0.20%,$337.50 ,-8.30%,"$6,135 ",-
491,490,Kelly Services,7500,467,"$5,277 ",-4.40%,$120.80 ,124.50%,"$2,028 ",$836 
492,491,Liberty Media,3626,525,"$5,276 ",10.00%,$680.00 ,962.50%,"$31,377 ","$13,055 "
493,492,Rockwell Collins,19000,490,"$5,259 ",-0.10%,$728.00 ,6.10%,"$7,707 ","$12,711 "
494,493,Robert Half International,16400,503,"$5,250 ",3.10%,$343.40 ,-4.00%,"$1,778 ","$6,240 "
495,494,CH2M Hill,20000,478,"$5,236 ",-2.30%,$15.00 ,-81.30%,"$2,671 ",-
496,495,Big Lots,23150,495,"$5,200 ",0.20%,$152.80 ,7.00%,"$1,608 ","$2,180 "
497,496,Michaels Cos.,31000,517,"$5,197 ",5.80%,$378.20 ,4.20%,"$2,148 ","$4,229 "
498,497,Toll Brothers,4200,576,"$5,170 ",23.90%,$382.10 ,5.20%,"$9,737 ","$5,872 "
499,498,Yahoo,8500,513,"$5,169 ",4.00%,($214.30),-,"$48,083 ","$44,391 "
500,499,Vistra Energy,4431,,"$5,164 ",-,-,-,"$15,167 ","$6,968 "
501,500,ABM Industries,110000,485,"$5,145 ",-2.80%,$57.20 ,-25.00%,"$2,281 ","$2,428 "
